Questions,Syntax Error Code Solution,Indentation Error Wrong Code Solution,Logic Error Wrong Code Solution,Name Error Wrong Code Solution,Type Error Wrong Code Solution
"Given a positive integer, print all integers from 1 up to this number.","def print_numbers(n)
    for i in range(1, n+1):
        print(i)","def print_numbers(num):
for i in range(1, num+1):
print(i)","def print_numbers(num):
    for i in range(num):
        print(i)
    return

print_numbers(5)","Code Solution with Name Error: 

num = int(input(""Enter a positive integer: ""))
for i in range(1, n+1):
    print(i)","num = input(""Enter a positive integer: "")
for i in range(1, num+1):
    print(i)"
"Given a positive integer, find out the sum of all integers from 1 up to this number.","def sum_of_integers(n):
    sum = 0
    for i in range(1, n+1)
        sum += i
    return sum","def sum_of_integers(n):
  sum = 0 
  for i in range(1, n+1):
    sum += i 
  return sum","def sum_of_integers(num):
    sum = 0
    for i in range(num+1):
        sum += i
    return sum + 1  # Logic Error: adding 1 extra to the sum","n = int(input(""Enter a positive integer: ""))
sum = 0
for i in range(1, n+1):
    su += i
print(summ)","def sum_up_to(n):
    return sum(range(1, n+1, 1))

sum_up_to(""10"")"
"Given a positive integer, find out its factorial.","def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1)

n = int(input(""Enter a positive integer: ""))
print(""The factorial of"", n, ""is"", factorial(n))","def factorial(num):
  if num == 0:
  return 1
  else:
  return num * factorial(num-1)","def find_factorial(n):
    factorial = 1
    for i in range(1, n+1):
        factorial *= i
    return factorial - 1 # incorrect logic error: subtracting 1 from the factorial instead of returning the correct value","num = int(input(""Enter a number: ""))
fact = 1
for i in range(1,num+1):
    fact = fact*i
print(""The factorial of"",num,""is"",fact)
print(num_factorial) # wrong variable name used, should be 'fact' instead of 'num_factorial'","def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)

factorial(""5"")"
"Given a positive integer, find out if it’s prime or not.","def is_prime(n):
    if n <= 1:
        return False
    elif n <= 3:
        return True
    elif n % 2 == 0:
        return False
    for i in range(3, int(n**0.5) + 1, 2)
        if n % i == 0:
            return False
    return True","def is_prime(num):
  if num <= 1:
  return False
  for i in range(2, num):
    if num % i == 0:
      return False
  return True","def isPrime(num):
    if num < 2:
        return False
    for i in range(2, num):
        if num % i == 0:
            return True
    return False","def is_prime(n):
    if n < 2:
        return False
    for i in range(2, n):
        if n % i == 0:
            return False
    return True

print(isprime(7)) # NameError: name 'isprime' is not defined","def is_prime(n):
    if n < 2:
        return False
    elif n == 2:
        return True
    else:
        for i in range(2, n):
            if n % i == 0:
                return False
        return True

print(is_prime(""10"")) #Type Error"
"Given a positive integer, find out the sum of all odd numbers from 1 up to this number.","def sum_odd_numbers(n):
    sum = 0
    for i in range(1, n+1):
        if i % 2 != 0:
            sum += i
    return sum","def sum_of_odd_numbers(n):
  sum = 0
  for i in range(1, n+1):
    if i % 2 != 0:
    sum += i
  return sum","def sum_of_odd_numbers(num):
    sum = 0
    for i in range(1, num+1):
        if i % 2 != 0:
            sum += i
    return sum + 1 # Logic error: adding 1 to the final sum","wrong_code_solution:
n = int(input(""Enter a positive integer: ""))
sum = 0
for i in range(1,n+1):
    if i%2 != 0:
        sum += i
print(""The sum of all odd numbers from 1 to n is: "", sum_odd) # NameError: name 'sum_odd' is not defined","def sum_of_odd_numbers(n):
    sum = 0
    for i in range(1, n+1):
        if i%2 != 0:
            sum += i
    return sum

print(sum_of_odd_numbers(""10"")) # Type Error: string cannot be converted to integer"
"Given a positive integer, find out the sum of all even numbers from 2 up to this number.","Code Solution:

n = int(input(""Enter a positive integer:""))

sum = 0
for i in range(2, n + 1, 2)
    sum += i

print(""The sum of all even numbers from 2 to"", n, ""is"", sum)","def sum_of_even_numbers(num):
sum = 0
for i in range(2, num+1):
if i % 2 == 0:
sum += i
return sum","def sum_even_numbers(n):
    total = 0
    for i in range(2, n+1):
        if i % 2 == 0:
            total += i
        return total","sum = 0
n = int(input(""Enter a positive integer: ""))
for i in range(2, n+1, 2):
    sum += i
print(""The sum of even numbers from 2 to"", n, ""is"", sum)
print(""This code has a Name Error"")","def sum_even_numbers(n):
    sum = 0
    for i in range(2, n+1, 2):
        sum += i
    return sum

print(sum_even_numbers(""10"")) # Type Error: 'str' object cannot be interpreted as an integer"
"Given a positive integer, find the multiplication table of that integer up to 10.","for i in range(1, 11)
    for j in range(1, 11)
        print(i * j)
    print()","num = 5 
for i in range(1, 11):
print(num, 'x', i, '=', num * i)","def multiplication_table(num):
    for i in range(1, 11):
        print(num * i, end="" "")
    print() # Logic Error: The new line should be printed after each iteration of the inner loop, not after all iterations are completed.","num = input(""Enter a positive integer: "")
for i in range(1, 11):
    print(num + "" x "" + i + "" = "" + num*i)","def multiplication_table(num):
    for i in range(1, 11):
        print(num * i)
        
multiplication_table(""5"") # Type Error"
"Given a positive integer, find all its divisors.","def find_divisors(num):
    divisors = []
    for i in range(1, num + 1)
        if num % i == 0
            divisors.append(i)
    return divisors","def find_divisors(n):
  divisors = []
  for i in range(1, n+1):
    if n % i == 0:
  divisors.append(i)
  return divisors","def find_divisors(num):
    divisors = []
    for i in range(1, num+1):
        if num % i == 0:
            divisors.append(i)
        else:
            divisors.append(0) # Logic Error: Adding 0 to the divisors list if the number is not divisible
    return divisors","Code Solution:

n = input()
for i in range(1,n+1):
    if n % i == 0:
        print(i) 

Name Error: 
NameError: name 'input' is not defined","def find_divisors(num):
    divisors = []
    for i in range(1, num+1):
        if num % i == 0:
            divisors.append(i)
    return divisors

find_divisors(""10"") # Type Error: can't mod string by int"
"Given a positive integer, print each of its digits separately without converting the number into a string.","def print_digits(n):
    while n > 0:
        digit = n % 10
        print digit
        n = n / 10","def print_digits(num):
  while num > 0:
    digit = num % 10
    print(digit)
    num = num // 10","def print_digits(num):
    if num < 0:
        print(""Enter a positive integer"")
    else:
        while num > 0:
            digit = num % 10
            print(digit)
            num = num // 10","num = 12345
for i in range(len(num)):
    print(number[i])","x = 12345
for i in range(len(x)):
    print(x[i])"
"Given a positive integer, convert it into binary, and vice-versa.","def decimal_to_binary(n):
    if n == 0:
        return '0'
    else:
        return decimal_to_binary(n // 2) + n % 2

decimal_to_binary(10)","def decimal_to_binary(num):
  return bin(num)

def binary_to_decimal(num):
  return int(num, 2)","Wrong Code:

def decimal_to_binary(num):
    binary = """"
    while num > 0:
        binary = str(num % 2) + binary
        num = num // 2
    return binary

def binary_to_decimal(binary):
    decimal = 0
    for i in range(len(binary)):
        digit = binary[i]
        decimal = decimal + digit * 2 ** (len(binary) - i - 1)
    return decimal","x = 10
binary = bin(x)
print(binary)

decimal = int('1010', 2)
print(decimal)","def decimalToBinary(num):
    if num > 1:
        decimalToBinary(num // 2)
    print(num % 2, end='')

decimalToBinary(""10"") # Type Error: decimalToBinary() argument must be integer, not str"
"Given a list of numbers, find out its length and the sum of all these numbers.","length= len(numbers)
sum= 0
for num in numbers:
    sum+= num
print(""Length of the list is:"", length)
print(""Sum of all the numbers in the list is:"", sum)","numbers = [1, 2, 3, 4, 5]
    length = len(numbers)
    sum = 0
    for num in numbers:
    sum += num
    print(""Length:"", length)
    print(""Sum:"", sum)","def find_length_and_sum(nums):
    length = 0
    total_sum = 0
    
    for num in nums:
        length += 1
        total_sum += num
        
    return length, total_sum + 1  # Logic Error: adding 1 to the total sum","lst = [1, 2, 3, 4, 5]
lenn = lenn(lst)
summ = sum(lst)
print(""Length:"", lenn)
print(""Sum:"", summ)","def list_sum_len(lst):
    length = len(lst)
    total = sum(lst)
    return length, total

list_sum_len(""1,2,3,4"") # Type Error"
"Given a list of numbers, find the squares of all the numbers.","def square_numbers(numbers):
    squared_numbers = []
    for num in numbers
        squared_numbers.append(num ** 2)
    return squared_numbers","numbers = [1, 2, 3, 4, 5]
    for num in numbers:
    square = num ** 2
    print(square)","def find_squares(numbers):
    squares = []
    for num in numbers:
        square = num * num
        squares.append(square)
    return squares","lst = [2, 4, 6, 8, 10]
for i in lst:
    print(i ** 2)
print(square_lst) # Name Error as square_lst is not defined","def square_numbers(numbers):
    squared_numbers = []
    for num in numbers:
        squared_numbers.append(num ** 2)
    return squared_numbers

numbers = [1, 2, 3, '4', 5]
print(square_numbers(numbers)) #Type Error"
"Given a list of numbers, find out their mean and standard deviation.","mean = sum(numbers) / len(numbers)
sd = (sum((x - mean) ** 2 for x in numbers) / len(numbers)) ** 0.5","numbers = [1, 2, 3, 4, 5]
    mean = sum(numbers) / len(numbers)
    variance = sum((i - mean) ** 2 for i in numbers) / len(numbers)
    std_deviation = variance ** 0.5

    print(""Mean:"", mean)
    print(""Standard Deviation:"", std_deviation)","mean = sum(numbers) / len(numbers)
variance = sum([(x - mean) ** 2 for x in numbers]) / len(numbers)
standard_deviation = variance ** 0.5

print(""Mean:"", mean)
print(""Standard Deviation:"", standard_deviation)","x = [10, 20, 30, 40, 50]
mean = sum(x)/len(x)
std_dev = ((sum(x - mean)**2)/len(x))**0.5","numbers = [3, 5, 7, ""9"", 11]
mean = sum(numbers) / len(numbers)
variance = sum([(x - mean) ** 2 for x in numbers]) / len(numbers)
std_dev = variance ** 0.5"
"Given a list of integers, find all the even numbers in it and their count.","def find_even_numbers(numbers):
    even_numbers = []
    count = 0
    for num in numbers
        if num % 2 == 0:
            even_numbers.append(num)
            count += 1
    return even_numbers, count","def find_even_numbers(arr):
  count = 0
  for num in arr:
    if num % 2 == 0:
    count += 1
  return count","def find_even_numbers(lst):
    count = 0
    even_numbers = []
    for num in lst:
        if num % 2 == 0:
            even_numbers.append(num)
            count += 1
    return count, even_numbers","lst = [3, 5, 8, 10, 12, 15, 20]
count = 0
for num in lst:
    if num % 2 == 0:
        count += 1
        print(num)
print(""Total even numbers:"", count)
print(""Even number count:"", cnt) # Name Error - cnt not defined","def find_even_numbers(lst):
    count = 0
    for num in lst:
        if num % 2 = 0:
            count += 1
    return count

find_even_numbers([1, 2, 3, 4, 5, 6]) # Type Error"
"Given a list of integers, find all the odd numbers in it and their count.","def find_odd_numbers(lst):
    count = 0
    odd_numbers = []
    for num in lst:
        if num % 2 != 0:
            count += 1
            odd_numbers.append(num)
    return odd_numbers, count","def count_odd_numbers(int_list):
  odd_numbers = []
  for num in int_list:
    if num % 2 != 0:
    odd_numbers.append(num)
  return len(odd_numbers), odd_numbers","def find_odd_numbers(arr):
    odd_numbers = []
    count = 0
    for num in arr:
        if num % 2 != 0:
            odd_numbers.append(num)
        count += 1
    return odd_numbers, count","count = 0
for num in lst:
    if num % 2 != 0:
        odd_lst.append(num)
        cnt += 1
print(""There are"", count, ""odd numbers in the list."")","def odd_numbers(lst):
    count = 0
    result = []
    for num in list:
        if num % 2 != 0:
            result.append(num)
            count += 1
    return ""Odd numbers: "" + result + ""\nCount: "" + count

lst = [1, 2, 3, 4, 5, 6, 7, 8, 9]
print(odd_numbers(lst))"
"Given a list of numbers, create another list in reverse order (without using list splicing).","Wrong code:

numbers = [1, 2, 3, 4, 5]
reversed_list = []

for i in range(len(numbers)):
    reversed_list.append(numbers[len(numbers) - i - 1])

print(reversed_list)","def reverse_list(input_list):
  reversed_list = []
   for i in range(len(input_list)-1, -1, -1):
     reversed_list.append(input_list[i])
  return reversed_list","def reverse_list(input_list):
    reversed_list = []
    for i in range(len(input_list)):
        reversed_list.append(input_list[len(input_list) - i])
    return reversed_list","lst = [1, 2, 3, 4, 5]
reversed_lst = []
for i in range(len(lst)):
    reversed_lst.append(lst[j])
print(reversed_lst)","lst = 12345
new_lst = []
for i in range(len(lst)):
    new_lst[i] = lst[-i]
print(new_lst)"
"Given a list of numbers, find out the maximum number.","max_number = 0
numbers = [2, 5, 7, 9, 4, 1]

for number in numbers
    if number > max_number
        max_number = number

print(""The maximum number is:"", max_number)","def find_max(numbers):
max_num = numbers[0]
for num in numbers:
if num > max_num:
max_num = num
return max_num","def find_max_number(numbers):
    max_num = 0
    for num in numbers:
        if num > max_num:
            max_num = num
    return max_num","max_num = [5, 8, 3, 10, 2]
maximum = max_num[0]
for num in max_num:
    if num > max:
        max = num
print(maximum_number)","def find_max(nums):
    max_num = nums[0]
    for num in nums:
        if num > max_num:
            max_num = num
    return max_num

print(find_max(""1,2,3,4,5"")) # Type Error: '>' not supported between instances of 'str' and 'int'"
"Given a list of integers, find out the index of another given integer.","def find_index(lst, target):
    for i in range(len(lst)):
        if lst[i] == target
            return i
    return -1","def find_index(arr, target):
  for i in range(len(arr)):
  if arr[i] == target:
    return i
  return -1","def find_index(arr, num):
    for i in range(len(arr)):
        if arr[i] == num:
            return i + 1
        else:
            return -1","x = [1, 2, 3, 4, 5]
print(x.index(6)) # This will give NameError as 'y' is not defined.","def find_index(lst, num):
    for i in range(len(lst)):
        if lst[i] == num:
            return i
    return ""Not Found""
    
find_index([1, 2, 3, 4, 5], ""6"") # Type Error: '==' not supported between instances of 'int' and 'str'"
"Given a list of integers, find their Least Common Multiple (LCM) and Greatest Common Divisor (Divisor).","def find_lcm_gcd(numbers):
    lcm = 1
    for num in numbers:
        lcm *= num
        
    gcd = numbers[0]
    for num in numbers:
        gcd = gcd % num
        
    return lcm, gcd

numbers = [2, 4, 6, 8, 10]
print(find_lcm_gcd(numbers))","def find_lcm(arr):
    lcm = 1
  for i in arr:
    lcm = (lcm * i) // find_gcd(lcm, i)
  return lcm

def find_gcd(x, y):
  while(y):
    x, y = y, x % y
  return x

arr = [2, 3, 5, 7]
print(""LCM:"", find_lcm(arr))
print(""GCD:"", find_gcd(arr))","def LCM_GCD(nums):
    def gcd(a, b):
        while b:
            a, b = b, a % b
        return a
    
    def lcm(a, b):
        return abs(a * b) // gcd(a, b)
    
    lcm_result = 1
    gcd_result = nums[0]
    
    for num in nums:
        lcm_result *= num
        gcd_result = gcd(gcd_result, num)
    
    return lcm_result, gcd_result","def wrong_code():
    nums = [2, 4, 6, 8]
    lcm = 1
    for i in nums:
        lcm = lcm*i
    print(lcm)
    
    div = nums[0]
    for i in range(1, len(nums)):
        div = gcd(div, nums[i])
    print(div)
    
wrong_code()","def find_lcm(arr):
    lcm = arr[0]
    for i in range(1, len(arr)):
        lcm = lcm * arr[i] // gcd(lcm, arr[i]) # Type Error: 'gcd' is not defined
    return lcm

def find_gcd(arr):
    gcd = arr[0]
    for i in range(1, len(arr)):
        gcd = gcd(gcd, arr[i]) # Type Error: 'int' object is not callable
    return gcd"
"Create a list containing the first n integers in the Fibonacci series, where n is given by the user.","list = []
n = input(""Enter the value of n: "")
a = 0
b = 1
for i in range(n):
    list.append(a)
    temp = a
    a = b
    b = temp + b
print(list)","n = int(input(""Enter the value of n:""))
a = 0
b = 1
fib_series = [a, b]
for i in range(2, n):
    c = a + b
    fib_series.append(c)
    a = b
    b = c
print(fib_series)","def fibonacci_series(n):
    fib_list = [0, 1]
    for i in range(2, n):
        fib_list.append(fib_list[i-1] + fib_list[i-2])
    return fib_list

n = int(input(""Enter the value of n: ""))
print(fibonacci_series(n))","# Wrong Code Solution with Name Error:

n = int(input(""Enter the value of n: ""))
fib_list = [0, 1]
for i in range(2, n):
    fib_list.append(fib_list[i-1] + fib[i-2])
print(fib_list) # NameError: name 'fib' is not defined","n = input(""Enter the value of n: "")
n = int(n)
fib_list = []
if n == 1:
    fib_list = [1]
elif n == 2:
    fib_list = [1, 1]
else:
    fib_list = [1, 1]
    for i in range(2, n):
        fib_list.append(fib_list[i-1] + fib_list[i-2])
print(fib_list)"
"Given a list of distinct numbers, create another list which contains the sum of all pairs of numbers in the given list (the same pair should not be taken twice).","def sum_of_pairs(numbers):
    result = []
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            result.append(numbers[i] + numbers[j])
    return result","def find_pair_sum(nums):
    pair_sums = []
  for i in range(len(nums)):
    for j in range(i+1, len(nums)):
      pair_sums.append(nums[i] + nums[j])
  return pair_sums","def sum_of_pairs(numbers):
    result = []
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            result.append(numbers[i] + numbers[j])
    return result","wrong_code_solution:

lst = [1, 2, 3, 4, 5]
new_lst = []
for i in range(len(lst)):
  for j in range(i+1, len(lst)):
    new_lst.append(lst[i] + lst[j])
print(new_list)  # NameError: name 'new_list' is not defined","def sum_pairs(lst):
    res = []
    for i in range(len(lst)):
        for j in range(i+1, len(lst)):
            res.append(lst[i] + lst[j])
    return res

sum_pairs([1, 2, 3, 4]) + 5"
"Given a list of distinct numbers (may contain zero), create another list which contains the ratio of all pairs of numbers in the given list (the same pair should not be taken twice).","def ratio_of_pairs(nums):
    ratio_list = []
    for i in range(len(nums)):
        for j in range(i+1, len(nums)):
            if nums[j] != 0:
                ratio = nums[i] / nums[j]
                ratio_list.append(ratio)
    return ratio_list

#defining a list of numbers
numbers = [1, 2, 3, 4, 5]

#calling the function and printing the result
print(ratio_of_pairs(numbers))","def create_ratio_list(numbers):
  ratio_list = []
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            if numbers[j] != 0:
                ratio_list.append(numbers[i] / numbers[j])
            else:
                ratio_list.append('undefined')
  return ratio_list","def create_ratio_list(numbers):
    ratio_list = []
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            ratio_list.append(numbers[i] / numbers[j])
    return ratio_list","wrong_code_solution:
```
def ratio_list(numbers):
    ratio_list = []
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            ratio = numbers[i] / numbers[j]
            ratio_list.append(ratio)
    return ratio_list

print(ratio_list([2, 4, 6, 8]))
print(ratio_list([0, 3, 5, 7]))
print(ratio_list([1, 2, 3, 4, 5, 6]))
print(ratio_list([-2, 4, -6, 8]))
```
Note: The function name and the variable name inside the function are the same, which causes a Name Error when trying to append the ratio to the ratio_list.","def ratio_list(num_list):
    ratios = []
    for i in range(len(num_list)):
        for j in range(len(num_list)):
            if i != j:
                ratios.append(num_list[i]/num_list[j])
    return ratios

ratio_list([1, 2, 3]) + 'a'"
